id,name,price,room_type,accommodates,review_scores_rating,quartiere
2737,"Elif's room in cozy, clean flat.",$57.00,Private room,1,4.8,OSTIENSE
11834,"Charming Boschetto Studio, Rome",$110.00,Entire home/apt,2,4.86,MONTI
12398,Casa Donatello - Home far from Home,$124.00,Entire home/apt,6,4.9,FLAMINIO
19965,S. Peter's Square 5 Min WALK bright and quite 2bdr,$162.00,Entire home/apt,5,4.57,EROI TRIONFALE
19967,*In front Vatican Museums 2 bedrooms quite bright*,$150.00,Entire home/apt,5,4.28,EROI TRIONFALE
20534,DormiRoma - Cedro 1 Apartment - Trastevere,$195.00,Entire home/apt,4,4.48,TRASTEVERE
20587,DormiRoma - Cedro 4 Apartment - Trastevere,$245.00,Entire home/apt,4,4.67,TRASTEVERE
20699,Vintage Suite w/ Private Bath by Esquiline Suites,$95.00,Private room,2,4.82,ESQUILINO
21811,PRETTY FLAT IN TRASTEVERE,$136.00,Entire home/apt,4,4.37,TRASTEVERE
22930,DormiRoma - Cedro 3 Apartment - Trastevere,$157.00,Entire home/apt,2,4.52,TRASTEVERE
25875,Close to St. Peter's Basilica  Le antiche Fornaci,$177.00,Entire home/apt,7,4.7,CAVALLEGGERI
29606,"2 steps Vatican&Colosseum, Your Home in Rome",$101.00,Entire home/apt,7,4.75,MONTEVERDE NUOVO
37305,Casa Pariolina - Suite The Romantic,$140.00,Entire home/apt,2,4.74,PARIOLI
37307,Casa Pariolina-Suite Villa Borghese,$162.00,Entire home/apt,3,4.78,PARIOLI
43912,Beautiful countryside villa - Rome,$95.00,Entire home/apt,4,4.53,MONTE CAMINETTO
22573,Wonderful loft in Rome Pigneto,$69.00,Entire home/apt,3,4.71,PIGNETO
182862,Perfect place apt 4 “Super Central” piazza navona,$131.00,Entire home/apt,2,4.57,REGOLA
183969,Anita Arte Roma B&B,$110.00,Entire home/apt,3,4.87,CASTRO PRETORIO
186484,"Panoramic ""studio"" in Rome",$152.00,Entire home/apt,3,4.83,PIGNA
191877,"Campo dei Fiori Attic, Regola",$300.00,Entire home/apt,4,4.74,REGOLA
48807,House of Colors ! Fast WiFi+Netflix,$85.00,Entire home/apt,4,4.81,PIGNETO
49240,PANTHEON CHARMING ACCOMODATION,$311.00,Entire home/apt,6,4.71,S. EUSTACHIO
50333,Bright&Cosy Penthouse Overlooking St. Peter's Dome,$125.00,Entire home/apt,3,4.8,MAZZINI
50471,Cozy bright Loft in Trastevere,$116.00,Entire home/apt,2,4.77,MONTEVERDE VECCHIO
53203,"Sanniti apartment, San Lorenzo stylish top floor",$108.00,Entire home/apt,6,4.67,S. LORENZO
53322,New Perfect place apt 7 in campo de fiore area,$137.00,Entire home/apt,2,4.54,PARIONE
192711,La Palmetta - Appia Antica Archaeological Park,$90.00,Entire home/apt,5,4.35,APPIO LATINO - ALBERONE
192859,Coronari Apartment 1 with terrace,$308.00,Entire home/apt,6,4.59,PONTE
194786,Laura's Brother terrace in Rome,$79.00,Entire home/apt,4,4.53,APPIO S. GIOVANNI
196714,Rome center home -Termini Colosseo apartment,$165.00,Entire home/apt,6,4.43,ESQUILINO
53325,New Perfect place apt 6 in campo dei fiori area,$160.00,Entire home/apt,2,4.55,PARIONE
54991,Tiziana house near the Imperial Rome,$73.00,Entire home/apt,4,4.69,APPIO S. GIOVANNI
55710,"luxury apartment st. peter, vatican",$286.00,Entire home/apt,6,4.96,AURELIO
56795,"Vatican: 2, 3, 4 Guests Room - 2 double beds B&B",$144.00,Private room,4,4.99,PRATI
56801,"Cozy Double Room B&B near Vatican, Rome",$121.00,Private room,2,4.95,PRATI
57982,Romantic getaway in Campo dei Fiori,$152.00,Entire home/apt,3,4.64,PARIONE
58273,Trastevere Bright and Charming Apt,$208.00,Entire home/apt,6,4.87,TRASTEVERE
59749,Garden View ShortLet 11people,$561.00,Entire home/apt,11,4.82,CASTRO PRETORIO
220921,The art home in Monti - near Colosseum,$111.00,Entire home/apt,3,4.69,MONTI
221063,Special price Vaticano,$171.00,Entire home/apt,2,4.66,AURELIO
223154,"Perfect place campo dei fiori 2 ""Super central""",$141.00,Entire home/apt,2,4.63,PARIONE
226372,"Colosseum View (Metro, Fast Wi-Fi, AC, kitchen)",$144.00,Entire home/apt,4,4.91,MONTI
