Listings_id,Name,Price,Property_type,Maximum_allowed_guests,Rating_score,quartiere
883802571079409175,Incantevole Villa nel Quartiere Mostacciano – nel Cuore del Centro,130.0,Entire home,6,4.67,MOSTACCIANO
23119898,Dimora nel Quartiere Villini – Intimo e Centrale,85.0,Entire home,8,4.58,VILLINI
822378093402979950,Angolo Autentico nel Quartiere Porta Di Roma,84.0,Entire home,4,4.6,PORTA DI ROMA
33154264,Il Bohémien Angolo di Roma,170.0,Entire home,4,4.51,S. EUSTACHIO
985401457065057526,Elegante Monolocale vicino al Pantheon,91.0,Entire home,2,5.0,LA MARRANELLA
1155877954111344324,Grazioso Rifugio vicino al Borghese,83.0,Entire home,4,5.0,BOCCEA
16333555,Dimora nel Quartiere Castel Fusano – Arioso e Centrale,200.0,Entire home,6,4.94,CASTEL FUSANO
1021609874675855823,Pittoresco Perla nel Quartiere Valco S. Paolo,95.0,Entire home,4,4.25,VALCO S. PAOLO
1232308,Splendido Monolocale vicino al Piazza Venezia,80.0,Entire home,2,4.43,MONTI
50867668,Attico nel Quartiere Castelluccia – Moderno e Centrale,125.0,Entire home,4,4.6,CASTELLUCCIA
29921297,Camera con Vista – nel Quartiere Mazzini,167.0,Hotel room,4,4.8,MAZZINI
1099825358500361163,Il Panoramico Studio di Roma,60.0,Entire home,2,5.0,CASAL BRUNORI
772863491910519664,Stravagante Villa vicino al Trevi,150.0,Entire home,6,4.38,NOMENTANO
10046241,Solare Mansarda nel Quartiere Riserva Di Livia – vicino ai Trasporti,95.0,Entire home,4,5.0,RISERVA DI LIVIA
839064847843589114,Perla nel Quartiere Colle Prenestino – Antico e Centrale,50.0,Entire home,4,4.79,COLLE PRENESTINO
1014331924102203856,Appartamento nel Quartiere Tor Marancia – Solare e Centrale,85.0,Entire home,6,4.71,TOR MARANCIA
33517247,Vivace Appartamento nel Quartiere Mezzocammino – Luminosissimo,88.0,Entire home,6,3.0,MEZZOCAMMINO
28178208,Suggestivo Loft nel Quartiere Pineto,124.0,Entire home,3,4.71,PINETO
10819727,Rifugio nel Rione Parione – Panoramico e Centrale,159.0,Entire home,4,4.73,PARIONE
957752581433300152,Casa nel Quartiere Salario – Antico e Centrale,250.0,Entire home,4,5.0,SALARIO
2713072,Bilocale nel Quartiere Tenuta Di Tor Marancia - Parco Dell'Appia Antica – Romantico e Centrale,100.0,Entire home,3,4.8,TENUTA DI TOR MARANCIA - PARCO DELL'APPIA ANTICA
730449908919012737,Panoramico Suite vicino al Circo Massimo,74.0,Entire home,4,5.0,TOR PAGNOTTA
11946175,Arioso Monolocale a Campitelli – Completamente Attrezzato,120.0,Entire home,2,4.75,CAMPITELLI
3091776,Raffinato Mansarda nel Quartiere Quadraretto,160.0,Entire home,3,4.91,QUADRARETTO
20132863,Arioso Studio vicino al Vaticano,180.0,Entire home,3,3.8,EROI TRIONFALE
16718221,Mansarda Vintage nel Quartiere Villini Santa Maria,79.0,Entire home,5,5.0,VILLINI SANTA MARIA
22137463,Villa Sofisticato nel Quartiere Giustiniana,434.0,Entire home,9,4.36,GIUSTINIANA
14894036,Il Nido Romano – Camera in Prati,140.0,Private room,3,4.9,PRATI
9326162,Delizioso Casa vicino al Termini,284.0,Entire home,6,4.88,CELIO
591833577939706616,Antico Rifugio a Roma,568.0,Entire home,4,5.0,QUARTO PEPERINO
34747165,Grazioso Angolo nel Quartiere Nomentano – con Wi-Fi Ultraveloce,62.0,Private room,2,4.79,NOMENTANO
842436217515276415,Monolocale Accogliente nel Quartiere Foro Italico,109.0,Entire home,2,4.98,FORO ITALICO
584094730957952189,Luminoso Nido nel Quartiere Maglianella,40.0,Entire home,2,4.92,MAGLIANELLA
995007510161326082,Il Bohémien Suite di Roma,43.0,Entire home,4,4.38,PRENESTINO LABICANO
913006342957815124,Angolo con Vista – alla Regola,183.0,Entire home,5,4.57,REGOLA
37422733,Il Portico – Villa nel Quartiere Ponte Mammolo,83.0,Entire home,8,4.22,PONTE MAMMOLO
947908158245541562,Suggestivo Angolo vicino al Tevere,70.0,Private room,1,4.83,OSTIENSE
897124379328528832,Il Antico Studio di Roma,52.0,Entire home,2,3.0,TOR SANTI QUATTRO
29840569,Solare Attico vicino al Piazza Venezia,159.0,Entire home,4,4.96,BORGO
51915431,Prezioso Camera a Roma,87.0,Private room,2,4.8,ESQUILINO
43732939,Nido Stravagante a Trastevere,103.0,Entire home,2,4.82,TRASTEVERE
13820143,Sereno Monolocale al Nomentano,124.0,Entire home,2,4.56,NOMENTANO
954129101610244119,Bilocale Moderno nel Quartiere Ostia Levante,105.0,Entire home,5,4.25,OSTIA LEVANTE
36328479,Il Magico Monolocale di Roma,59.0,Entire home,2,4.57,FONTE LAURENTINA
1938361,Il Sereno Monolocale di Roma,159.0,Entire home,2,4.44,EROI TRIONFALE
24329895,Con Vista sui Tetti – Angolo nel Quartiere Colonna,181.0,Entire home,4,4.81,COLONNA
943206853985655899,Incantevole Trilocale nel Quartiere Ostiense – a 5 Min dalla Metro,127.0,Entire home,3,4.33,OSTIENSE
1001880961973947758,Grazioso Trilocale nel Quartiere Finocchio,80.0,Entire home,3,5.0,FINOCCHIO
34823394,Romantico Casa nel Quartiere Trevi – Completamente Attrezzato,74.0,Entire home,4,4.82,TREVI
947807074713138397,Splendido Studio nel Quartiere Igea,120.0,Entire home,2,5.0,IGEA
42115893,Il Arioso Dimora di Roma,550.0,Entire home,7,5.0,CAMILLUCCIA
53905509,Prezioso Appartamento a Roma,110.0,Entire home,4,5.0,OSTIA PONENTE
1852734,La Loggia – Rifugio nel Quartiere Monteverde Vecchio,100.0,Entire home,3,4.55,MONTEVERDE VECCHIO
48327795,Perla con Vista – al Ludovisi,159.0,Entire home,4,4.93,LUDOVISI
1133968714454939902,Al Terzo Piano – Suite Monti,175.0,Private room,3,5.0,MONTI
890465007873586961,Sofisticato Nido a Roma,43.0,Entire home,2,5.0,CAMPO GRAZIA
5462296,Angolo nel Quartiere Settebagni – Romantico e Centrale,168.0,Entire home,4,4.77,SETTEBAGNI
1172393726733153076,Vintage Angolo nel Quartiere Millevoi,100.0,Entire home,4,4.67,MILLEVOI
693778776463577889,Sotto i Pini – Perla nel Quartiere Tomba Di Nerone,65.0,Entire home,4,4.42,TOMBA DI NERONE
859391400645166396,Con Vista sui Tetti – Loft nel Quartiere Furio Camillo,83.0,Entire home,3,4.82,FURIO CAMILLO
19442487,Monolocale Solare nel Quartiere Talenti,118.0,Entire home,4,1.75,TALENTI
869598024684782345,Studio nel Quartiere Colle Di Mezzo – Sereno e Centrale,83.0,Entire home,3,4.93,COLLE DI MEZZO
7818606,Incantevole Villa vicino al Circo Massimo,129.0,Entire home,7,4.8,ESQUILINO
9093921,Grazioso Trilocale nel Quartiere Villa Gordiani,79.0,Entire home,4,5.0,VILLA GORDIANI
20087842,Rifugio nel Quartiere Battistini – Bohémien e Centrale,97.0,Private room,4,4.57,BATTISTINI
6690494,Accogliente Studio a Roma,30.0,Entire home,2,4.62,DUE PONTI
210511,Brillante Casa nel Quartiere Primavalle,97.0,Entire home,4,4.81,PRIMAVALLE
852697638526754437,Studio all'Esquilino – Romantico e Centrale,122.0,Entire home,2,4.79,ESQUILINO
16422148,Arioso Villa a Roma,100.0,Entire home,6,4.87,CECAFUMO
811445277116418565,Al Terzo Piano – Bilocale nel Quartiere Malafede,90.0,Entire home,5,4.65,MALAFEDE
49068480,Il Raffinato Suite di Roma,110.0,Entire home,4,4.94,BAGNOLETTO
1004784032290596292,Loft nel Quartiere Casalotti – Tranquillo e Centrale,77.0,Entire home,2,5.0,CASALOTTI
15018556,Il Splendido Attico di Roma,600.0,Entire home,5,4.25,PONTE
967277619789003915,Il Unico Mansarda di Roma,110.0,Entire home,3,5.0,CASE ROSSE
589443265722321560,Il Romantico Perla di Roma,87.0,Entire home,5,4.89,CAVALLEGGERI
