id,nome,turistiche,storiche,metro,quartiere
100872452,Circo Massimo,,,subway_entrance,RIPA
246574147,Cavour (direzione Laurentina),,,subway_entrance,MONTI
246661222,Garbatella,,,subway_entrance,GARBATELLA
247716803,Piramide,,,station,MIANI
248683055,Laurentina,,,subway_entrance,GIULIANO DALMATA
248683058,Laurentina,,,subway_entrance,GIULIANO DALMATA
248832679,Cavour (direzione Rebibbia/Jonio),,,subway_entrance,MONTI
248834289,Repubblica,,,subway_entrance,CASTRO PRETORIO
248834290,Repubblica,,,subway_entrance,CASTRO PRETORIO
248834292,Termini,,,subway_entrance,CASTRO PRETORIO
248834293,Termini Exit T3,,,subway_entrance,CASTRO PRETORIO
248973535,Basilica San Paolo,,,subway_entrance,SAN PAOLO
248973536,Basilica San Paolo,,,subway_entrance,SAN PAOLO
253874144,Quattro Fontane,attraction,,,CASTRO PRETORIO
256753101,Vittorio Emanuele,,,subway_entrance,ESQUILINO
256753107,Porta Magica,,ruins,,ESQUILINO
259064789,Catacombe di Priscilla,attraction,archaeological_site,,VERBANO
259069917,"bunker ""Ferro di Cavallo""",attraction,,,VILLA ADA
259261742,Fontana dell'Acqua Acetosa,attraction,,,VILLAGGIO OLIMPICO
259555733,Catacombe di Sant'Agnese,,archaeological_site,,TRIESTE
259576441,Fontana dei Libri,attraction,,,S. EUSTACHIO
259578199,Basilica San Paolo,,,subway_entrance,SAN PAOLO
259671299,Ninfeo di Egeria,attraction,archaeological_site,,VALLE DELLA CAFFARELLA - PARCO DELL'APPIA ANTICA
259699754,Cannone di Mezzogiorno,attraction,,,TRASTEVERE
260202184,Manzoni,,,subway_entrance,ESQUILINO
260202199,Manzoni,,,subway_entrance,ESQUILINO
260540147,Circo Massimo,,,subway_entrance,S. SABA
260770350,Obelisco Matteiano,,monument,,CELIO
261637801,Garbatella,,,subway_entrance,GARBATELLA
280140654,Cornelia,,,subway_entrance,BOCCEA
295223084,Monti Tiburtini,,,subway_entrance,MONTI TIBURTINI
295227421,Tiburtina FS,,,subway_entrance,ITALIA
295227613,Policlinico,,,subway_entrance,LA SAPIENZA UNIVERSITA'
295227689,Castro Pretorio,,,subway_entrance,CASTRO PRETORIO
295228586,Pietralata,,,subway_entrance,PIETRALATA
295228832,Quintiliani,,,station,MONTI DI PIETRALATA
295228833,Bologna,,,station,ITALIA
295229728,Bologna,,,subway_entrance,ITALIA
295263530,Fonte dell'Acqua Sacra,attraction,,,MONTE SACRO
298116120,Acilia,,,station,ACILIA SUD
301492700,Anagnina,,,subway_entrance,CINECITTA' EST
302203473,Furio Camillo,,,subway_entrance,APPIO LATINO - ALBERONE
302212403,Arco di Travertino,,,subway_entrance,ARCO DI TRAVERTINO
305104811,Torre di Perna,attraction,,,MONTE DELLA CACCIA
307566146,Cornelia,,,subway_entrance,BOCCEA
307878083,Arco di Paolo V,,monument,,AURELIO
315145650,Flaminio - Piazza del Popolo,,,subway_entrance,FLAMINIO
332292142,Ostia Antica,,,station,STAGNI DI OSTIA
332297384,Castel Fusano,,,station,LIDO DI CASTEL FUSANO
332297712,Lido Centro,,,station,OSTIA LEVANTE
356699285,Conca d'Oro,,,station,CONCA D'ORO
365475871,Colle Palatino,attraction,,,CAMPITELLI
379773457,Villa Romana - Via Pollenza,,archaeological_site,,CASAL TIDEI
385021151,Villa e Cisterna delle Vignacce,,ruins,,PARCO DEGLI ACQUEDOTTI
388100723,Lido Nord,,,station,OSTIA LEVANTE
390841960,Cristoforo Colombo,,,station,LIDO DI CASTEL FUSANO
401949921,Museo dell'Astronomia e Planetario,museum,,,EUR
442111257,Villa di Massenzio,,ruins,,PARCO DELL'APPIA ANTICA
444593290,Colli Albani - Parco Appia Antica,,,subway_entrance,APPIO LATINO - ALBERONE
448098410,Cornelia,,,subway_entrance,BOCCEA
