quartiere,municipio,num_residenti
BORGO,1,2568
CAMPITELLI,1,497
CAMPO MARZIO,1,5066
CASTRO PRETORIO,1,5029
CELIO,1,2279
COLONNA,1,1861
DELLA VITTORIA,1,5815
EROI TRIONFALE,1,21074
ESQUILINO,1,21066
IGEA,1,1884
LUDOVISI,1,1549
MAZZINI,1,14387
MIANI,1,2859
MONTI,1,11542
PARCO DI MONTE MARIO,1,395
PARIONE,1,2285
PIGNA,1,2498
PONTE,1,3377
PRATI,1,14262
REGOLA,1,2984
RIPA,1,2702
S. ANGELO,1,1020
S. EUSTACHIO,1,1753
S. SABA,1,3314
SALLUSTIANO,1,2135
TESTACCIO,1,7308
TRASTEVERE,1,12694
TREVI,1,2063
ACQUA ACETOSA,2,81
AFRICANO,2,13740
BELLE ARTI,2,2058
FLAMINIO,2,12514
ITALIA,2,24845
LA SAPIENZA UNIVERSITA',2,537
LANCIANI,2,8982
NOMENTANO,2,3957
PARIOLI,2,23031
PINCIANO,2,4789
S. LORENZO,2,8742
SALARIO,2,8046
SCALO S. LORENZO,2,208
TRIESTE,2,13579
VALLE GIULIA,2,350
VERANO,2,5
VERBANO,2,16077
VESCOVIO,2,16949
VILLA ADA,2,225
VILLA BORGHESE,2,3
VILLAGGIO OLIMPICO,2,2836
AEROPORTO DELL'URBE,3,334
BUFALOTTA,3,4279
CASAL BOCCONE,3,7319
CASALE NEI,3,11843
CASTEL GIUBILEO,3,1439
CECCHINA,3,3776
CINQUINA,3,3045
COLLE SALARIO,3,8448
CONCA D'ORO,3,9426
FIDENE,3,10360
INVIOLATELLA SALARIA,3,63
MARCIGLIANA,3,480
MONTE SACRO,3,15923
NUOVO SALARIO,3,24000
PARCO DELLE SABINE,3,5
PARCO DELLE VALLI,3,0
PORTA DI ROMA,3,3943
PRATI FISCALI,3,9322
SACCO PASTORE,3,9938
SANTA MARIA DELLE GRAZIE - AUSTRALIANO,3,2747
SERPENTARA,3,11428
SETTEBAGNI,3,5313
TALENTI,3,29524
