prezzo,m2,via,quartiere
 850/mese,45m²,Via Giuseppe Antonio Guattani,NOMENTANO
 900/mese,55m²,Via Pietro Ottoboni,PORTONACCIO
 1.900/mese,80m²,Via della Purificazione,COLONNA
 3.000/mese,100m²,Via Margutta,CAMPO MARZIO
 2.400/mese,165m²,Via Bartolomeo Gosio,COLLINA FLEMING
 1.350/mese,72m²,Via Giuseppe Giusti,ESQUILINO
 3.200/mese,50m²,"Via Flavia,93",SALLUSTIANO
 1.300/mese,60m²,Via Ronciglione,VIGNA CLARA
 2.400/mese,186m²,Via Bevagna,COLLINA FLEMING
 1.000/mese,50m²,Via della Casetta Mattei,CASETTA MATTEI
 2.200/mese,80m²,Via dei Coronari,PONTE
 1.050/mese,70m²,Via Costantino Corvisieri,LANCIANI
 5.200/mese,510m²,"Via Vincenzo Arangio Ruiz, 5",GREGORIO XI
 6.900/mese,150m²,"Via della Camilluccia,741",CAMILLUCCIA
 2.200/mese,115m²,Via Costantino Corvisieri,LANCIANI
 1.300/mese,90m²,"Via Rea Silvia, 6",FURIO CAMILLO
 5.200/mese,390m²,Via Pieve di Cadore,TRIONFALE
 3.200/mese,150m²,Viale Giorgio Ribotta,CASTELLACCIO
 2.400/mese,180m²,Via Guido Banti,COLLINA FLEMING
 9.500/mese,352m²,Via Adda,SALARIO
 1.800/mese,60m²,Via Giuseppe Sacconi,FLAMINIO
 1.800/mese,85m²,Piazza dei Santi Apostoli,TREVI
 7.500/mese,390m²,Piazza Ungheria,PARIOLI
 850/mese,61m²,Piazza Michele Sanmicheli,TOR PIGNATTARA
 1.700/mese,50m²,Piazza Albania 10,S. SABA
 600/mese,55m²,Via di Vermicino,BORGHESIANA
 550/mese,40m²,Via Sommatino,BORGHESIANA
 1.300/mese,100m²,Via Costanza Baudana Vaccolini,PORTA PORTESE
 3.350/mese,240m²,Viale delle Milizie,MAZZINI
 1.450/mese,101m²,Viale Città d'Europa,TORRINO
 730/mese,40m²,Via Dario Niccodemi,TALENTI
 1.400/mese,60m²,Via Flavia,SALLUSTIANO
 1.100/mese,80m²,Via Arturo Graf,TALENTI
 1.600/mese,93m²,via Antonio Gramsci,PARIOLI
 1.850/mese,125m²,Piazza dei Martiri di Belfiore,MAZZINI
 2.100/mese,141m²,Via Castelfranco Veneto,COLLINA FLEMING
 1.650/mese,150m²,Viale delle Medaglie d'Oro,MEDAGLIE D'ORO
 800/mese,70m²,Via Genzano,COLLI ALBANI
 680/mese,60m²,Via Alessandro Bausani,CASAL SELCE
 1.000/mese,75m²,Via Francesco Saverio Solari,VIGNA PIA
 600/mese,25m²,Via dei Volsci,S. LORENZO
 1.500/mese,90m²,Via Ildebrando Vivanti,MOSTACCIANO
 7.000/mese,250m²,Via della Panetteria,TREVI
 600/mese,66m²,Via Comelico Superiore,OSTERIA NUOVA
 1.350/mese,97m²,Via Oslo,CASTELLACCIO
 1.800/mese,100m²,Via Giosuè Carducci,SALLUSTIANO
 400/mese,20m²,Via di Acilia,ACILIA SUD
 400/mese,20m²,Via di Acilia,ACILIA SUD
 1.000/mese,80m²,Via Paolo Stoppa,GIARDINO DI ROMA
